Time Distance Angle
5,2 203,8872 0
64,81999 341,5407 0
65,21999 376,0851 0
41,48001 206,0728 0
40,87999 191,2067 0
53,94 300,5329 0
35,34 180,2498 0
54,29999 333,7715 0
27,58002 151,7168 0
66,5 425,4076 0
16,16 114,0175 0
7,940002 55,17246 0
49,96002 335,2611 0
38,89996 259,2373 0
39,40002 274,3611 0
38,06 257,5267 0
5,2 203,8872 0
64,81999 341,5407 0
65,21999 376,0851 0
41,46001 205,548 0
40,89999 191,2067 0
54,10001 300,5329 0
35,23999 180,2498 0
54,45999 333,7763 0
27,60001 151,7168 0
66,51999 425,4076 0
16,15997 114,0175 0
7,960022 53,74012 0
49,89999 335,2611 0
38,85999 259,2373 0
39,42004 282,8428 0
38,03998 254,6998 0
39,32001 218,1559 0
3,339966 15,0333 0
3,23999 15,0333 0
59,76001 342,9869 0
41,29999 184,3909 0
46,39996 280,2356 0
5,2 203,8872 0
64,81999 341,5407 0
65,21999 376,0851 0
41,46001 205,548 0
40,89999 191,2067 0
54,10001 300,5329 0
35,23999 180,2498 0
54,45999 333,7763 0
27,60001 151,7168 0
66,51999 425,4076 0
16,15997 114,0175 0
7,960022 53,74012 0
49,89999 335,2611 0
38,85999 259,2373 0
39,42004 282,8428 0
38,03998 254,6998 0
39,32001 218,1559 0
3,339966 15,0333 0
3,23999 15,0333 0
59,76001 342,9869 0
41,29999 184,3909 0
46,39996 280,2356 0
63,34003 332,2764 0
14,08002 58,13777 0
39,56 141,5486 0
53,45996 287,5065 0
11,62006 84,95882 0
40,51996 238,7174 0
16,93994 99,04544 0
60,23999 276,5863 0
38,28003 245,1775 0
37,3999 199,8086 0
31,17993 154,5057 0
3,219971 15,0333 0
41,33997 312,6308 0
34,02002 182,5705 0
32,83997 161,2451 0
44,03992 240,5203 0
8,880005 61,35145 0
41,47998 304,1096 0
24,43994 169,8698 0
4,420044 28,28427 0
3,199951 15,0333 0
32,83997 243,0291 0
8,819946 56,93479 0
28,29993 193,6801 0
15,66003 116,2841 0
32,80005 237,7604 0
21,46008 148,8734 0
10,94006 80 0
29,68005 165,4872 0
35,35999 178,0899 0
38,45996 73,00685 0
46,8999 151,9539 0
22,42004 131,0954 0
29,88 104,3072 0
45,83997 245,5443 0
26,42004 83,45058 0
56,18005 227,8464 0
57,91992 214,7417 0
23,61987 158,8081 0
26,97998 99,15644 0
33,23999 234 0
9,579834 55,31727 0
34,6001 212,9272 0
48,43994 282,9629 0
55,45996 350,2285 0
14,56006 90,02222 0
29,12012 173,9543 0
27,95996 125,9365 0
113,3 221,0204 0
48 228,7794 0
13,54004 99,00568 0
4,300049 26,90725 0
27,67993 207,5692 0
32,54004 222,2859 0
31,80005 170,3937 0
26,43994 137,2301 0
34,83984 208,197 0
13,04004 87,65842 0
37,67993 249,0984 0
13,58008 99,01202 0
17,94019 121,2033 0
32,44019 231,4842 0
32,1001 208,2402 0
42,53979 262,1946 0
14,54004 99,368 0
40,09985 206,8913 0
17,45996 123,4342 0
41,62012 240,1874 0
28,92017 206,6935 0
25,14014 106,1037 0
11,37988 82,46211 0
33,61987 237,0021 0
8,800049 57,5896 0
35,35986 157,9177 0
19,73999 141,4496 0
19,5 110,3087 0
31,73999 209,0024 0
29,72021 114,0175 0
13,84009 93,39165 0
49,28003 312,9009 0
45,71997 309,2733 0
32,92017 230,7943 0
30,18018 226,1062 0
52,88013 249,002 0
19,57983 133,0038 0
24,58008 172,0116 0
25,02002 178,7177 0
29,1001 173,0722 0
60,98022 370,6211 0
53,52002 272,2499 0
10,67993 58,30952 0
7,939941 53,74012 0
48,69995 276,9275 0
23,02002 165,7106 0
15,78003 75,32596 0
23,94019 82,02483 0
28,6001 89,44272 0
9,959961 69,06519 0
21,5 144,3674 0
38,23999 286,0245 0
52,71997 346,8314 0
20,04004 109,444 0
49,03979 342,9408 0
43,97998 278,0072 0
33,26001 224,5173 0
35,38013 154,013 0
45,36035 283,779 0
30,91992 206,3056 0
28,31982 159,8312 0
37,77979 256,0078 0
14,93994 75,00667 0
4,340332 28,28427 0
26,82031 151,9539 0
8,399902 60 0
12,97998 87,65842 0
31,58008 132,9436 0
6,42041 41,59327 0
34,6001 248,8453 0
29,47998 174,0767 0
19,45996 138,35 0
31,14014 144,2243 0
42,55957 227,3368 0
16,34033 116,8418 0
5,2 203,8872 0
5,2 203,8872 0
64,85999 341,5412 0
5,2 203,8872 0
64,85999 341,5412 0
5,2 203,8872 0
64,85999 341,5412 0
65,28 376,0851 0
41,48 205,548 0
40,92 191,2067 0
54,11998 300,5329 0
35,24002 180,2498 0
54,19998 333,8371 0
27,54001 151,7168 0
66,46002 425,472 0
16,15997 114,0175 0
7,939972 53,74012 0
49,85995 335,2611 0
5,2 203,8872 0
5,2 203,8872 0
64,85999 341,5412 0
